binary_name,package,cluster,entry_point,loc,gen_label,gen_major,first_commit_date,first_commit_hash,first_commit_subject,last_commit_date,last_commit_hash,last_commit_subject,goal,parent,successors,outcome,canonical_replacement,archive_status,evidence,notes
m8g_cvrp_validation,cvrp_server,CVRP,services/cvrp_server/src/bin/m8g_cvrp_validation.rs,286,m8g,8,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Validation against reference,,m11_reachability_atlas,Superseded,,Pending,E3,
m11_reachability_atlas,cvrp_server,CVRP,services/cvrp_server/src/bin/m11_reachability_atlas.rs,288,m11,11,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Reachability / solution space mapping,m8g_cvrp_validation,m12_cvrp_repair_atlas,Superseded,,Pending,E3,
m12_cvrp_repair_atlas,cvrp_server,CVRP,services/cvrp_server/src/bin/m12_cvrp_repair_atlas.rs,289,m12,12,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Reachability / solution space mapping,m11_reachability_atlas,m14_cvrp_recognizability_audit,Superseded,,Pending,E3,
m14_cvrp_recognizability_audit,cvrp_server,CVRP,services/cvrp_server/src/bin/m14_cvrp_recognizability_audit.rs,317,m14,14,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Structural or behavioural audit,m12_cvrp_repair_atlas,m15_cvrp_decoder_independence,Superseded,,Pending,E3,
m15_cvrp_decoder_independence,cvrp_server,CVRP,services/cvrp_server/src/bin/m15_cvrp_decoder_independence.rs,222,m15,15,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Decoder independence verification,m14_cvrp_recognizability_audit,m16_cvrp_reconstruction_guidance,Superseded,,Pending,E3,
m16_cvrp_reconstruction_guidance,cvrp_server,CVRP,services/cvrp_server/src/bin/m16_cvrp_reconstruction_guidance.rs,271,m16,16,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Reconstruction guidance,m15_cvrp_decoder_independence,m17_cvrp_backbone_causality,Superseded,,Pending,E3,
m17_cvrp_backbone_causality,cvrp_server,CVRP,services/cvrp_server/src/bin/m17_cvrp_backbone_causality.rs,238,m17,17,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Backbone causality analysis,m16_cvrp_reconstruction_guidance,m18_structural_invariants,Superseded,,Pending,E3,
m18_structural_invariants,cvrp_server,CVRP,services/cvrp_server/src/bin/m18_structural_invariants.rs,224,m18,18,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Structural invariant verification,m17_cvrp_backbone_causality,m20_epistasis,Superseded,,Pending,E3,
m20_epistasis,cvrp_server,CVRP,services/cvrp_server/src/bin/m20_epistasis.rs,132,m20,20,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Epistasis / gene interaction study,m18_structural_invariants,m21_feasible_path,Superseded,,Pending,E3,
m21_feasible_path,cvrp_server,CVRP,services/cvrp_server/src/bin/m21_feasible_path.rs,257,m21,21,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Feasibility path analysis,m20_epistasis,m21c_sa|m21d_elite_sa|m22_0_archive|m22_scale_up,Superseded,,Pending,E3,
m21c_sa,cvrp_server,CVRP,services/cvrp_server/src/bin/m21c_sa.rs,246,m21c,21,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Simulated annealing,m21_feasible_path,,Terminal (no known successor),,Pending,E3,
